Município;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
BURITIS;128;165;239;128;102;87;187;229;330;80;220;34;1929
NOVO HORIZONTE DO OESTE;20;11;68;4;-;1;4;14;5;41;85;7;260
CACAULANDIA;7;14;14;52;-;-;23;6;58;253;68;15;510
CAMPO NOVO DE RONDONIA;226;33;21;32;6;14;16;82;70;56;20;7;583
CANDEIAS DO JAMARI;15;47;147;36;8;18;-;15;89;26;192;31;624
CASTANHEIRAS;1;3;29;4;-;2;-;36;41;12;35;24;187
CHUPINGUAIA;23;52;37;2;-;-;9;96;76;273;40;23;631
CUJUBIM;3;4;68;58;3;8;2;8;68;135;78;16;451
GOVERNADOR JORGE TEIXEIRA;3;3;16;6;1;2;8;2;151;15;10;4;221
ITAPUA DO OESTE;30;6;51;10;2;7;116;59;41;178;5;22;527
MINISTRO ANDREAZZA;3;79;31;7;-;1;6;36;58;41;27;6;295
MIRANTE DA SERRA;10;-;15;7;-;-;2;1;117;91;7;13;263
MONTE NEGRO;6;17;32;30;6;12;20;292;52;177;45;7;696
NOVA UNIAO;7;9;12;9;2;1;2;2;25;9;7;23;108
PARECIS;8;128;59;15;2;-;49;73;3;70;54;7;468
PIMENTEIRAS DO OESTE;2;-;45;8;5;4;20;1;1;46;53;15;200
PRIMAVERA DE RONDONIA;6;1;7;1;3;2;91;34;14;107;45;11;322
SAO FELIPE D'OESTE;53;13;49;17;6;2;23;5;105;67;109;2;451
SAO FRANCISCO DO GUAPORE;20;34;60;9;4;9;54;63;271;113;12;32;681
SERINGUEIRAS;27;12;75;7;6;-;-;107;350;43;11;8;646
TEIXEIROPOLIS;-;3;5;3;1;-;1;9;58;7;7;4;98
THEOBROMA;8;3;22;5;-;-;15;3;29;89;20;4;198
URUPA;67;43;26;14;1;-;1;26;44;21;20;6;270
VALE DO ANARI;3;5;22;22;3;2;39;2;36;91;102;96;423
VALE DO PARAISO;2;2;75;45;1;7;1;1;71;60;12;1;278
ACRELANDIA;7;11;4;143;65;13;35;173;9;50;21;20;551
ASSIS BRASIL;21;6;489;2;5;87;199;476;200;552;436;87;2560
BRASILEIA;12;7;55;66;64;186;361;334;49;719;433;20;2306
BUJARI;30;29;15;15;105;27;20;107;1;226;60;80;715
CAPIXABA;18;7;59;27;49;79;13;98;20;279;48;56;753
CRUZEIRO DO SUL;26591;4502;220;582;1034;2859;2799;1099;1516;751;1266;2863;46082
EPITACIOLANDIA;42;60;235;187;131;211;439;245;58;401;634;117;2760
FEIJO;10;7;12;3;1219;1;53;577;317;797;513;628;4137
JORDAO;-;-;3;1;-;2;-;2;1;3;4;7;23
MANCIO LIMA;256;213;41;18;602;309;155;254;143;302;256;220;2769
MANOEL URBANO;3;-;-;1;192;6;8;226;20;118;48;70;692
MARECHAL THAUMATURGO;43;26;15;5;3;14;598;519;154;36;305;156;1874
PLACIDO DE CASTRO;25;6;43;128;481;144;12;45;2;124;13;26;1049
PORTO WALTER;51;37;4;-;8;1;30;12;157;94;36;112;542
RIO BRANCO;585;435;613;375;1479;2714;1271;5536;240;1243;1250;3704;19458
RODRIGUES ALVES;311;320;33;43;112;446;389;488;235;146;431;197;3151
SANTA ROSA DO PURUS;4;1;-;1;-;2;-;1;-;5;5;1;20
SENADOR GUIOMARD;19;28;57;8;23;40;36;29;1;31;24;46;342
SENA MADUREIRA;38;16;31;16;1138;317;72;627;200;572;147;147;3321
TARAUACA;28;24;13;4;283;1954;833;3040;130;354;244;286;7193
XAPURI;11;43;130;198;146;695;237;896;41;168;33;37;2635
PORTO ACRE;12;39;125;39;174;72;149;170;5;194;65;96;1140
ALVARAES;15;22;3;7;2;4;1;23;220;237;86;10;630
AMATURA;4;1;-;-;-;-;1;3;4;1;1;-;15
ANAMA;-;1;-;-;-;-;-;-;-;-;2;1;4
ANORI;40;3;2;1;2;-;1;2;-;-;1;-;52
APUI;1;6;12;1;-;1;-;2;-;8;1;1;33
ATALAIA DO NORTE;6;1;1;-;-;12;9;3;166;18;65;658;939
AUTAZES;-;-;25;2;2;1;-;4;1;-;4;3;42
BARCELOS;10;105;5;4;1;9;45;5;3;17;7;76;287
BARREIRINHA;-;1;2;-;-;-;-;-;1;-;3;3;10
BENJAMIN CONSTANT;3;1;22;17;1;431;671;84;1643;89;2;216;3180
BERURI;-;1;23;13;-;-;1;17;2;2;48;3;110
BOA VISTA DO RAMOS;1;-;27;6;2;-;-;1;-;-;2;-;39
BOCA DO ACRE;18;17;41;17;23;198;654;140;4;19;27;30;1188
BORBA;50;6;68;41;6;44;16;25;-;42;11;17;326
CAAPIRANGA;2;-;1;1;1;-;-;1;-;1;9;3;19
CANUTAMA;1;-;-;3;1;1;6;-;2;-;162;25;201
CARAUARI;-;1;3;36;4;623;357;40;5;2;22;19;1112
CAREIRO;6;3;17;-;2;2;5;2;-;5;13;4;59
CAREIRO DA VARZEA;-;1;-;1;2;-;1;1;-;-;4;1;11
COARI;493;1;114;248;15;4;9;8;94;124;413;75;1613
CODAJAS;7;-;-;58;2;9;7;19;3;31;325;48;509
EIRUNEPE;1;1;2;-;1;17;276;110;1;6;44;529;988
ENVIRA;-;4;1;-;1;-;21;134;123;5;883;420;1592
FONTE BOA;-;1;1;-;-;-;1;3;2;-;3;6;17
GUAJARA;532;271;77;80;106;632;431;56;117;48;948;346;3644
HUMAITA;65;9;29;50;19;70;148;211;277;274;37;8;1197
IPIXUNA;19;13;4;5;4;23;32;152;412;460;20;316;1460
IRANDUBA;2;8;21;27;20;9;12;321;65;99;29;15;628
ITACOATIARA;465;130;111;28;355;33;19;12;20;6;24;7;1210
ITAMARATI;1;-;-;1;-;1;-;-;-;-;-;-;3
ITAPIRANGA;1;-;-;1;1;-;-;1;-;-;-;-;4
JAPURA;2;-;14;2;1;-;1;4;178;291;202;78;773
JURUA;1;-;-;-;-;2;1;1;1;-;8;1;15
JUTAI;-;-;2;1;-;-;509;223;8;698;690;420;2551
LABREA;22;9;31;15;4;1;594;338;82;613;693;52;2454
MANACAPURU;13;12;50;16;4;14;12;178;17;30;48;81;475
MANAQUIRI;-;-;4;-;-;-;1;1;2;1;9;4;22
MANAUS;2591;1614;5347;2516;1269;464;943;3946;1191;1170;2638;1279;24976
MANICORE;3;31;3;1;1;-;17;487;190;98;48;20;899
MARAA;7;1;3;3;2;1;-;3;1;114;12;12;159
MAUES;2;162;170;46;15;5;-;6;3;70;87;34;600
NHAMUNDA;-;-;-;-;-;1;-;-;-;-;2;-;3
NOVA OLINDA DO NORTE;2;27;107;10;1;1;-;3;-;1;2;-;154
NOVO AIRAO;6;-;72;13;1;7;-;17;8;2;17;30;173
NOVO ARIPUANA;57;259;304;36;16;15;12;5;-;3;3;7;717
PARINTINS;13;524;17;24;8;2;30;33;13;5;22;41;732
PAUINI;-;-;1;2;1;1;3;4;1;3;-;7;23
PRESIDENTE FIGUEIREDO;31;12;22;1;4;47;93;47;14;13;20;60;364
RIO PRETO DA EVA;1;3;3;1;5;4;4;13;42;17;10;3;106
SANTA ISABEL DO RIO NEGRO;-;-;1;-;-;1;42;16;4;1;1;12;78
SANTO ANTONIO DO ICA;2;4;-;-;-;2;37;80;104;27;64;8;328
SAO GABRIEL DA CACHOEIRA;385;144;212;72;114;865;865;24;4;4;47;17;2753
SAO PAULO DE OLIVENCA;-;4;-;-;-;5;15;130;64;159;5;93;475
SAO SEBASTIAO DO UATUMA;1;1;-;-;-;-;-;26;-;1;7;1;37
SILVES;2;3;6;-;-;1;-;1;-;-;1;-;14
TABATINGA;1089;315;340;109;17;388;101;146;136;139;59;123;2969
TAPAUA;1;125;85;100;37;15;-;942;113;155;185;17;1775
TEFE;689;72;76;306;278;47;62;255;40;856;378;52;3111
TONANTINS;-;-;-;-;-;-;19;22;58;378;232;25;734
UARINI;1;-;1;-;1;-;1;2;4;12;-;-;22
URUCARA;1;-;62;-;-;2;-;-;-;1;3;1;70
URUCURITUBA;-;2;51;3;7;1;-;2;-;-;5;-;71
AMAJARI;13;43;5;4;-;8;4;-;1;1;2;7;88
ALTO ALEGRE;23;13;4;2;1;9;5;8;5;1;39;9;119
BOA VISTA;288;399;75;197;71;1000;355;45;39;61;272;236;3040
BONFIM;107;41;3;10;1;47;12;5;1;91;6;33;357
CANTA;13;24;18;5;-;17;32;-;1;16;31;9;166
CARACARAI;68;150;8;15;2;202;18;7;1;8;6;42;535
CAROEBE;6;4;46;1;-;211;5;12;1;2;4;13;305
IRACEMA;115;55;3;5;1;5;-;3;-;22;22;7;238
MUCAJAI;37;53;7;12;3;55;12;7;7;6;7;8;214
NORMANDIA;4;10;1;-;3;3;35;-;-;1;58;4;119
PACARAIMA;18;9;2;1;1;3;-;-;-;5;77;52;168
RORAINOPOLIS;429;281;6;8;24;4;14;18;3;18;153;32;990
SAO JOAO DA BALIZA;5;23;33;23;3;17;1;10;1;1;2;19;138
SAO LUIZ;1;-;-;4;-;3;1;1;-;-;25;8;43
UIRAMUTA;2;10;1;1;1;21;-;-;-;-;1;5;42
ABAETETUBA;16;36;127;165;37;9;15;8;8;26;308;120;875
ABEL FIGUEIREDO;10;15;20;7;2;7;1;-;-;10;12;11;95
ACARA;65;2;14;3;14;7;3;8;33;34;106;53;342
AFUA;2;8;11;9;10;9;2;2;154;229;238;154;828
AGUA AZUL DO NORTE;3;22;18;176;5;31;4;27;25;124;18;14;467
ALENQUER;4;220;536;43;15;5;43;113;24;3;80;10;1096
ALMEIRIM;150;2;3;7;79;-;2;1;-;3;100;14;361
ALTAMIRA;247;298;84;52;17;58;318;206;126;340;709;871;3327
ANAJAS;-;1;1;3;-;-;1;-;73;5;196;39;319
ANANINDEUA;35;335;292;74;90;38;42;19;42;62;493;254;1776
ANAPU;249;18;55;590;6;138;16;1;62;20;582;132;1872
AUGUSTO CORREA;4;48;14;5;65;4;17;10;1;4;88;386;646
AURORA DO PARA;7;2;3;6;15;2;2;1;6;91;30;23;188
AVEIRO;-;-;3;1;-;1;-;-;-;-;-;39;44
BAGRE;-;66;-;1;-;-;1;-;-;9;9;1;87
BAIAO;4;2;3;2;33;1;-;3;4;5;160;51;268
BANNACH;25;14;38;13;2;29;50;22;11;26;80;10;320
BARCARENA;7;18;79;37;31;10;9;3;4;6;238;363;805
BELEM;480;1493;737;253;223;200;231;619;278;528;3438;937;9418
BELTERRA;-;13;21;10;20;4;17;24;8;7;541;52;717
BENEVIDES;7;66;51;2;15;13;21;19;6;59;249;173;681
BOM JESUS DO TOCANTINS;1;2;4;1;-;2;1;1;11;7;10;19;59
BONITO;-;8;2;4;3;20;8;2;1;-;-;9;57
BRAGANCA;7;51;202;33;24;32;14;8;7;10;111;142;641
BRASIL NOVO;70;209;44;8;9;70;31;12;5;7;6;175;646
BREJO GRANDE DO ARAGUAIA;19;23;43;3;16;2;4;7;1;6;13;9;146
BREU BRANCO;4;31;462;343;149;5;13;-;3;6;3;33;1052
BREVES;6;203;48;6;3;7;4;2;1;47;131;34;492
BUJARU;3;4;2;1;2;4;1;-;2;1;35;60;115
CACHOEIRA DO PIRIA;20;4;82;23;3;-;2;-;2;-;35;4;175
CACHOEIRA DO ARARI;-;-;-;-;-;-;-;-;-;1;1;-;2
CAMETA;14;33;44;12;6;12;65;13;82;165;638;73;1158
CANAA DOS CARAJAS;16;184;87;31;33;309;16;48;273;127;211;383;1718
CAPANEMA;11;90;140;19;41;63;22;12;1;39;31;15;484
CAPITAO POCO;8;24;79;147;41;4;1;1;3;21;78;14;421
CASTANHAL;15;123;52;57;95;30;29;13;16;140;865;666;2101
CHAVES;1;1;3;3;3;3;-;1;-;-;1;4;20
COLARES;1;21;2;3;-;1;-;2;1;4;373;36;444
CONCEICAO DO ARAGUAIA;12;18;96;140;102;293;53;856;564;123;165;301;2723
CONCORDIA DO PARA;4;1;5;3;4;-;2;2;6;3;84;34;148
CUMARU DO NORTE;5;27;184;15;12;8;26;37;21;108;5;237;685
CURIONOPOLIS;21;11;56;2;-;5;-;-;21;1;15;44;176
CURRALINHO;2;3;1;3;1;3;7;3;1;-;149;12;185
CURUA;-;1;3;1;-;-;-;-;2;-;11;1;19
CURUCA;11;15;10;5;24;5;2;-;10;7;105;5;199
DOM ELISEU;22;67;511;7;9;35;9;-;46;12;76;229;1023
ELDORADO DOS CARAJAS;19;-;6;2;1;2;-;1;28;8;7;196;270
FARO;-;-;-;-;-;-;1;-;1;-;65;-;67
FLORESTA DO ARAGUAIA;1;26;193;8;83;13;4;64;173;107;13;168;853
GARRAFAO DO NORTE;-;1;4;5;4;-;1;-;-;1;18;3;37
GOIANESIA DO PARA;4;28;117;142;229;274;37;1;38;8;14;34;926
GURUPA;37;8;18;5;1;1;-;-;-;2;22;4;98
IGARAPE-ACU;7;5;20;1;9;8;14;-;19;45;206;20;354
IGARAPE-MIRI;1;10;4;2;12;13;3;36;34;8;169;37;329
INHANGAPI;9;80;15;4;71;1;2;2;-;5;53;85;327
IPIXUNA DO PARA;19;3;6;9;9;6;9;8;18;32;99;24;242
IRITUIA;6;38;5;6;13;3;6;1;3;8;25;3;117
ITAITUBA;70;63;556;48;32;23;138;520;62;12;166;631;2321
ITUPIRANGA;36;38;30;13;11;26;8;2;41;168;30;87;490
JACAREACANGA;-;-;2;1;-;1;1;1;1;3;3;5;18
JACUNDA;3;18;70;99;3;20;11;3;83;172;130;260;872
JURUTI;25;1;32;19;4;2;1;8;10;4;63;4;173
LIMOEIRO DO AJURU;1;4;10;33;4;3;4;-;-;5;33;13;110
MAE DO RIO;1;10;5;-;156;15;-;-;6;26;26;45;290
MAGALHAES BARATA;1;6;-;-;2;-;-;2;1;27;17;2;58
MARABA;94;130;534;465;22;53;2;7;60;24;147;122;1661
MARACANA;3;2;17;28;31;25;1;1;21;7;11;6;153
MARAPANIM;-;3;1;2;176;12;-;1;1;6;49;1;252
MARITUBA;107;318;172;100;56;16;12;10;27;24;194;138;1174
MEDICILANDIA;15;11;7;45;28;64;56;56;15;15;9;56;377
MELGACO;1;2;1;-;-;-;1;1;1;3;13;25;48
MOCAJUBA;2;17;22;3;4;26;25;2;4;4;75;143;327
MOJU;3;9;3;1;62;42;2;4;8;15;55;83;287
MOJUI DOS CAMPOS;30;172;31;13;10;4;13;7;44;11;124;10;469
MONTE ALEGRE;3;232;506;5;-;1;6;2;2;108;695;3;1563
MUANA;12;9;8;2;3;5;2;1;-;11;18;6;77
NOVA ESPERANCA DO PIRIA;3;-;26;64;13;4;1;-;-;2;9;125;247
NOVA IPIXUNA;15;60;95;6;8;67;2;3;2;4;26;22;310
NOVA TIMBOTEUA;-;25;19;6;85;3;-;-;-;1;26;4;169
NOVO PROGRESSO;69;124;303;64;72;98;291;48;111;113;247;796;2336
NOVO REPARTIMENTO;11;15;196;145;92;111;38;72;48;73;31;319;1151
OBIDOS;11;12;54;3;3;3;3;9;9;7;25;6;145
OEIRAS DO PARA;3;2;12;4;1;1;1;-;6;9;285;12;336
ORIXIMINA;214;47;319;35;9;7;-;8;12;10;133;8;804
OUREM;1;2;1;1;-;-;1;8;1;2;12;2;31
OURILANDIA DO NORTE;17;66;42;77;16;65;42;35;6;6;74;67;513
PACAJA;182;169;225;290;57;65;44;118;65;12;225;958;2412
PALESTINA DO PARA;-;1;2;68;27;3;7;1;9;9;10;71;208
PARAGOMINAS;9;3;8;44;1;47;1;3;25;67;70;29;307
PARAUAPEBAS;529;451;350;1119;266;1643;471;139;1209;416;919;1428;8948
PAU D'ARCO;-;2;40;44;55;1;17;10;35;54;337;106;701
PEIXE-BOI;-;3;23;-;2;3;4;5;10;9;29;8;96
PICARRA;1;-;5;-;1;3;1;2;16;7;-;-;36
PLACAS;7;21;4;1;-;-;-;2;10;3;82;155;285
PONTA DE PEDRAS;15;123;52;-;6;1;4;1;10;5;44;132;393
PORTEL;14;79;20;-;2;-;-;-;-;4;95;61;275
PORTO DE MOZ;3;23;11;-;-;2;4;-;3;2;8;8;64
PRAINHA;-;70;88;1;1;2;-;20;166;52;1031;21;1452
PRIMAVERA;-;41;31;6;3;-;-;1;13;2;2;13;112
QUATIPURU;-;2;41;6;23;6;-;4;1;5;9;1;98
REDENCAO;10;29;35;119;69;11;52;64;59;50;93;523;1114
RIO MARIA;17;23;19;39;6;33;48;6;26;93;249;148;707
RONDON DO PARA;10;70;247;79;60;53;3;3;17;25;50;19;636
RUROPOLIS;3;24;232;27;-;78;20;66;70;77;329;40;966
SALINOPOLIS;10;17;14;2;7;11;4;3;4;37;40;8;157
SALVATERRA;8;10;24;3;-;-;7;1;-;-;7;1;61
SANTA BARBARA DO PARA;8;26;9;-;7;20;10;2;3;8;36;60;189
SANTA CRUZ DO ARARI;-;2;1;1;-;-;-;-;-;-;-;2;6
SANTA IZABEL DO PARA;18;144;27;2;8;4;11;7;49;146;194;194;804
SANTA LUZIA DO PARA;4;16;23;13;12;18;3;143;54;30;46;7;369
SANTA MARIA DAS BARREIRAS;30;54;111;97;35;77;30;1;5;2;34;90;566
SANTA MARIA DO PARA;1;3;14;3;33;4;8;1;6;6;33;44;156
SANTANA DO ARAGUAIA;9;18;171;22;3;67;134;445;323;36;243;195;1666
SANTAREM;19;36;11;4;32;33;88;95;326;49;248;183;1124
SANTAREM NOVO;1;14;2;9;15;2;12;-;4;1;2;2;64
SANTO ANTONIO DO TAUA;1;14;12;7;24;5;7;7;1;2;15;16;111
SAO CAETANO DE ODIVELAS;1;15;4;5;9;6;-;3;1;7;148;5;204
SAO DOMINGOS DO ARAGUAIA;33;90;135;12;-;10;17;10;17;26;137;153;640
SAO DOMINGOS DO CAPIM;16;6;6;2;3;5;6;3;5;26;267;24;369
SAO FELIX DO XINGU;184;93;137;50;67;147;133;92;63;14;29;248;1257
SAO FRANCISCO DO PARA;16;4;8;20;23;3;2;4;5;3;56;21;165
SAO GERALDO DO ARAGUAIA;53;29;100;225;4;3;4;49;42;6;6;12;533
SAO JOAO DA PONTA;33;13;5;1;5;-;3;2;-;-;35;4;101
SAO JOAO DE PIRABAS;2;5;26;31;7;8;20;-;8;102;19;2;230
SAO JOAO DO ARAGUAIA;7;19;101;97;83;125;56;266;73;104;196;180;1307
SAO MIGUEL DO GUAMA;3;3;8;2;10;8;3;2;10;9;181;64;303
SAO SEBASTIAO DA BOA VISTA;4;7;2;-;1;-;-;-;-;-;11;4;29
SAPUCAIA;-;1;93;4;-;-;8;63;10;10;7;127;323
SENADOR JOSE PORFIRIO;514;209;22;8;4;237;15;41;29;62;86;120;1348
SOURE;5;31;34;102;4;8;6;4;13;15;26;8;256
TAILANDIA;33;39;21;7;3;16;1;3;177;87;18;397;802
TERRA ALTA;2;15;1;2;22;-;1;1;-;8;67;17;136
TERRA SANTA;5;1;-;-;-;-;-;-;1;-;7;-;14
TOME-ACU;33;101;93;4;2;38;7;1;8;114;182;439;1022
TRACUATEUA;19;25;45;2;14;18;11;3;3;11;12;7;170
TRAIRAO;-;2;10;1;-;-;25;141;26;2;115;206;528
TUCUMA;27;59;2;5;1;19;15;4;12;34;37;85;300
TUCURUI;16;22;358;421;81;18;12;6;11;40;68;148;1201
ULIANOPOLIS;1;3;3;1;2;2;4;-;11;6;18;10;61
URUARA;79;36;26;-;-;7;37;5;28;10;58;217;503
VIGIA;7;1;1;183;23;5;5;1;1;-;127;4;358
VISEU;1;35;21;2;71;1;1;2;6;15;91;23;269
VITORIA DO XINGU;94;43;16;22;19;88;137;116;49;191;210;192;1177
XINGUARA;14;75;93;880;12;21;224;131;159;244;138;499;2491
SERRA DO NAVIO;12;19;21;39;12;11;-;-;1;21;65;89;290
AMAPA;2;7;3;4;3;1;-;2;1;1;10;1;35
PEDRA BRANCA DO AMAPARI;138;123;104;44;84;4;1;4;-;88;14;120;724
CALCOENE;79;379;79;13;1;-;-;2;-;4;886;51;1494
CUTIAS;1;2;-;2;-;-;-;-;-;1;10;1;17
FERREIRA GOMES;12;85;125;72;65;1;4;1;-;-;79;74;518
ITAUBAL;-;5;2;2;2;1;-;-;-;2;20;1;35
LARANJAL DO JARI;875;53;1;29;159;5;11;2;-;338;793;51;2317
MACAPA;286;1547;922;351;338;141;35;228;232;620;5701;1323;11725
MAZAGAO;25;280;11;7;20;1;6;6;6;2;101;144;609
OIAPOQUE;620;417;398;231;2;5;2;24;27;81;1013;146;2966
PORTO GRANDE;117;150;4;34;5;3;3;1;6;6;478;88;895
PRACUUBA;-;1;1;1;1;1;-;-;-;-;17;31;53
SANTANA;21;272;75;70;44;19;5;9;19;58;1044;254;1890
TARTARUGALZINHO;2;60;71;22;24;-;-;1;1;7;439;82;709
VITORIA DO JARI;3;-;2;-;4;-;-;1;-;1;24;12;47
ABREULANDIA;17;63;4;4;5;4;1;17;91;7;3;1;217
AGUIARNOPOLIS;9;1;12;61;2;16;4;4;117;3;11;14;254
ALIANCA DO TOCANTINS;-;5;16;12;-;6;3;1;4;7;1;2;57
ALMAS;1;8;24;12;4;27;1;-;1;13;16;20;127
ALVORADA;1;7;17;1;9;23;6;-;66;22;41;12;205
ANANAS;3;9;54;17;23;28;26;19;31;4;23;10;247
ANGICO;1;-;-;3;-;-;-;-;5;1;-;4;14
APARECIDA DO RIO NEGRO;3;77;74;34;12;29;10;4;84;4;1;2;334
ARAGOMINAS;5;16;40;3;-;25;7;6;25;-;1;1;129
ARAGUACEMA;6;6;23;4;-;6;2;4;98;4;2;19;174
ARAGUACU;326;39;136;3;15;72;11;6;11;1;25;43;694
ARAGUAINA;487;890;963;1360;414;1745;341;1355;1337;284;395;628;10209
ARAGUANA;8;8;23;30;10;8;5;17;8;1;9;4;131
ARAGUATINS;25;39;55;89;36;56;12;11;35;14;10;201;583
ARAPOEMA;1;5;7;9;5;31;28;121;48;25;25;30;336
ARRAIAS;23;63;30;72;19;486;50;35;173;116;370;38;1475
AUGUSTINOPOLIS;4;13;69;37;1;23;3;1;7;20;6;28;212
AURORA DO TOCANTINS;-;1;18;74;-;9;2;1;55;6;82;2;250
AXIXA DO TOCANTINS;3;8;-;17;5;-;1;2;4;8;5;20;73
BABACULANDIA;7;1;28;14;1;60;6;17;4;5;5;18;166
BANDEIRANTES DO TOCANTINS;7;5;4;3;1;8;2;5;21;2;2;2;62
BARRA DO OURO;2;-;-;4;2;3;1;3;35;4;7;11;72
BARROLANDIA;14;14;14;5;6;52;3;1;166;65;16;4;360
BERNARDO SAYAO;9;5;5;4;6;7;2;29;6;-;-;125;198
BOM JESUS DO TOCANTINS;5;23;25;8;2;21;1;-;41;1;1;5;133
BRASILANDIA DO TOCANTINS;3;1;3;1;-;4;-;16;6;-;1;2;37
BREJINHO DE NAZARE;-;39;16;4;3;19;10;300;41;9;253;10;704
BURITI DO TOCANTINS;-;8;36;15;1;-;2;-;4;3;9;11;89
CACHOEIRINHA;1;-;19;2;-;-;11;43;41;13;4;12;146
CAMPOS LINDOS;5;1;1;1;18;34;-;-;21;2;-;5;88
CARIRI DO TOCANTINS;16;2;6;6;44;5;35;1;32;32;5;2;186
CARMOLANDIA;2;11;25;5;1;6;2;2;38;8;7;4;111
CARRASCO BONITO;-;-;11;2;1;1;12;-;1;3;10;1;42
CASEARA;2;3;1;-;3;6;7;3;25;5;3;1;59
CENTENARIO;-;2;-;2;-;5;-;1;4;-;2;-;16
CHAPADA DE AREIA;6;2;6;1;-;1;1;4;5;-;1;1;28
CHAPADA DA NATIVIDADE;2;7;4;4;15;5;3;14;63;17;10;10;154
COLINAS DO TOCANTINS;40;24;9;26;10;10;5;341;185;72;351;119;1192
COMBINADO;5;2;3;98;26;24;23;110;10;3;35;2;341
CONCEICAO DO TOCANTINS;1;4;10;27;2;31;30;3;77;5;7;5;202
COUTO MAGALHAES;-;12;3;18;3;8;10;22;12;1;4;10;103
CRISTALANDIA;2;13;84;6;1;6;6;7;10;14;5;1;155
CRIXAS DO TOCANTINS;-;-;7;4;-;1;5;-;2;6;1;-;26
DARCINOPOLIS;7;2;12;5;1;2;4;33;7;1;1;9;84
DIANOPOLIS;8;107;384;133;45;164;15;11;74;365;105;108;1519
DIVINOPOLIS DO TOCANTINS;29;111;90;17;14;46;8;1;62;3;1;4;386
DOIS IRMAOS DO TOCANTINS;11;29;81;11;4;28;1;6;28;18;4;6;229
DUERE;-;20;-;10;-;14;7;194;44;-;12;6;307
ESPERANTINA;1;1;5;17;11;4;-;-;-;7;7;15;68
FATIMA;6;3;-;1;1;6;2;5;15;4;1;5;49
FIGUEIROPOLIS;-;6;-;1;6;36;1;12;6;7;9;12;96
FILADELFIA;3;12;2;6;3;22;1;3;4;5;5;2;68
FORMOSO DO ARAGUAIA;154;107;317;6;32;429;18;38;190;24;42;23;1380
FORTALEZA DO TABOCAO;13;12;30;10;4;7;6;23;10;-;3;-;118
GOIANORTE;8;11;26;3;1;6;1;2;15;1;3;10;88
GOIATINS;15;10;2;1;1;5;-;47;56;11;44;10;202
GUARAI;48;22;61;83;15;113;2;142;142;37;10;15;690
GURUPI;50;71;221;116;47;282;205;28;305;260;160;265;2010
IPUEIRAS;1;6;9;-;5;8;-;14;25;1;1;6;76
ITACAJA;27;2;23;2;58;12;1;88;8;10;11;15;260
ITAGUATINS;7;5;21;7;3;8;6;1;14;17;2;4;95
ITAPIRATINS;1;5;8;1;3;5;1;38;30;-;54;1;147
ITAPORA DO TOCANTINS;3;9;20;2;2;14;9;4;118;-;-;5;186
JAU DO TOCANTINS;-;38;3;1;2;23;4;1;6;15;15;18;126
JUARINA;1;2;3;3;-;1;10;6;22;2;3;14;67
LAGOA DA CONFUSAO;16;116;412;58;3;293;24;25;226;6;5;4;1188
LAGOA DO TOCANTINS;6;17;19;1;1;11;1;2;11;5;7;1;82
LAJEADO;1;19;17;20;13;74;7;50;31;-;3;1;236
